entry_time,exit_time,direction,exit_reason,pnl_pct,size_pct,bars_held,result,ics,gatekeeper_passed,veto_soft_penalty,m1_dir,m1_score,m2_status,m2_score,m3_score,m4_status,m4_score,m5_status,m5_score,m7_score,m7_composite,eth_btc_trend,btc_trend,btc_atr_pctl,m8_status,m8_score,m9_status,m9_score,vol_regime,m10_status,m10_score,m11_status,m11_score,m12_status,m12_score,trend_dir,trend_val,cross_asset_score,session,phase0
2025-01-17 14:15:00,2025-01-17 15:00:00,LONG,TP1,0.4887,5.0,3,WIN,0.5139,True,0.1,NEUTRAL,0.55,PASS,1.0,0.5543,PASS,0.1301,PASS,0.605,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BULL,PASS,0.5985,SKIP,0.5,SKIP,0.5,UP,0.2739,0.5,US_OPEN,0.21486510851993026
2025-01-22 15:15:00,2025-01-23 03:00:00,SHORT,SL,1.5696,5.0,47,WIN,0.5808,True,0.05,NEUTRAL,0.525,PASS,1.0,0.6858,PASS,0.1301,PASS,0.479,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,FAIL,0.4375,SKIP,0.5,SKIP,0.5,DOWN,-0.3255,0.5,US_OPEN,0.1506252597262537
2025-01-22 16:00:00,2025-01-23 02:30:00,SHORT,SL,1.5273,5.0,42,WIN,0.5549,True,0.11,NEUTRAL,0.525,PASS,1.0,0.6765,PASS,0.1301,PASS,0.479,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,FAIL,0.4375,FAIL,0.3,SKIP,0.5,DOWN,-0.3255,0.5,US,0.1506252597262537
2025-01-27 13:15:00,2025-01-27 20:30:00,SHORT,SL,0.5372,5.0,29,WIN,0.5393,True,0.05,NEUTRAL,0.525,PASS,1.0,0.6712,PASS,0.0087,PASS,0.7235,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,FAIL,0.45,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.4151,0.5,EU,0.27044629136675213
2025-01-28 14:00:00,2025-01-28 15:00:00,SHORT,SL,-0.8,5.0,4,LOSS,0.587,True,0.1,NEUTRAL,0.525,PASS,1.0,0.8783,PASS,0.0044,PASS,0.4419,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5971,0.5,US_OPEN,0.21910547920295534
2025-01-28 14:45:00,2025-01-28 15:15:00,SHORT,SL,-0.8,5.0,2,LOSS,0.5366,True,0.1,NEUTRAL,0.525,PASS,1.0,0.6332,PASS,0.0044,PASS,0.4477,0.4625,0.462,N/A,N/A,,PASS,0.5,FAIL,0.2406,CHOP_MILD_BEAR,PASS,0.5435,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5971,0.5,US_OPEN,0.21910547920295534
2025-01-29 04:00:00,2025-01-29 08:00:00,SHORT,EARLY_EXIT,-0.8171,5.0,16,LOSS,0.5391,True,0.0,NEUTRAL,0.525,PASS,1.0,0.6678,PASS,0.1026,PASS,0.6339,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.4875,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5045,0.5,ASIAN,0.21146378476419087
2025-01-29 04:45:00,2025-01-29 08:45:00,SHORT,EARLY_EXIT,-0.7419,5.0,16,LOSS,0.5265,True,0.0,NEUTRAL,0.525,PASS,1.0,0.6123,PASS,0.1007,PASS,0.6183,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.4875,SKIP,0.5,SKIP,0.5,STRONG_DOWN,-0.5045,0.5,ASIAN,0.21146378476419087
2025-01-31 00:00:00,2025-01-31 04:00:00,LONG,EARLY_EXIT,-0.3676,5.0,16,LOSS,0.6077,True,0.0,NEUTRAL,0.5,PASS,0.8333,0.5067,PASS,0.5337,PASS,0.4664,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.6325,SKIP,0.5,SKIP,0.5,NEUTRAL,0.0736,0.5,ASIAN,0.1593409695449059
2025-01-31 00:30:00,2025-01-31 04:30:00,LONG,EARLY_EXIT,-1.0816,5.0,16,LOSS,0.5617,True,0.0,NEUTRAL,0.5,PASS,0.8333,0.4401,PASS,0.584,PASS,0.5267,0.4625,0.462,N/A,N/A,,PASS,0.5,PASS,0.5,NEUTRAL,PASS,0.6325,SKIP,0.5,SKIP,0.5,NEUTRAL,0.0736,0.5,ASIAN,0.1593409695449059
