entry_time,exit_time,direction,entry_price,exit_price,sl,tp1,tp2,tp3,pnl_pct,size_pct,bars_held,ics,m1_dir,m2_status,m4_status,m5_status,m5_score,phase0,exit_reason,reason
2025-02-11 19:30:00,2025-02-11 20:30:00,SHORT,2590.95,2611.6776,2611.6776,2572.417555808519,2529.1751860283966,2482.844075549694,-0.8000000000000065,5.0,4,0.5340021407114395,BEARISH,PASS,PASS,PASS,0.9227861148406474,0.3206904972660316,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.534
2025-02-13 11:15:00,2025-02-13 11:30:00,SHORT,2668.4,2654.183,2668.4,2654.183,2611.8402130910645,2569.4203729093624,0.5327911857292796,5.0,1,0.5687675462891139,BEARISH,PASS,PASS,PASS,0.4918045071360413,0.24058431969411456,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.569
2025-02-24 12:45:00,2025-02-24 13:30:00,SHORT,2679.21,2693.95135106383,2693.95135106383,2662.13903049871,2622.306768329033,2579.629344575807,-0.5502126023652429,5.0,3,0.566737653214109,BEARISH,FAIL,PASS,PASS,0.792129732916222,0.3816958816307506,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=FAIL M3=PASS M4=PASS M5=PASS ICS=0.567
2025-02-26 08:00:00,2025-02-26 09:30:00,SHORT,2467.79,2487.53232,2487.53232,2384.1904999999997,2407.6629687683303,2384.1904999999997,-0.7999999999999934,5.0,6,0.6103158463581713,NEUTRAL,PASS,PASS,PASS,0.2615442562701271,0.4271019389287215,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.610
2025-02-26 15:00:00,2025-02-26 17:15:00,SHORT,2452.16,2384.1904999999997,2452.16,2384.1904999999997,2380.3055273100467,2326.4146727925818,2.7718215777110857,5.0,9,0.6457855751366642,NEUTRAL,PASS,PASS,PASS,0.34435014075383186,0.4271019389287215,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.646
2025-02-27 11:30:00,2025-02-27 13:45:00,SHORT,2352.61,2332.8366972155322,2352.61,2332.8366972155322,2286.6989907184407,2237.2657337572714,0.8404836664159332,5.0,9,0.6147057224632269,NEUTRAL,PASS,PASS,PASS,0.7486561056501169,0.38345300335976934,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.615
2025-02-27 12:00:00,2025-02-27 13:45:00,SHORT,2343.27,2362.01616,2362.01616,2324.4955375867944,2280.6884586226483,2233.752302589635,-0.8000000000000063,5.0,7,0.592459954703697,BULLISH,PASS,PASS,PASS,0.7486561056501169,0.38345300335976934,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BULLISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.592
2025-02-27 16:30:00,2025-02-27 18:00:00,SHORT,2310.39,2328.8731199999997,2328.8731199999997,2288.1275926324233,2236.181975441412,2180.5259570224703,-0.7999999999999945,5.0,6,0.5516220200916795,BEARISH,PASS,PASS,PASS,0.6187192253809151,0.38345300335976934,SL,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=BEARISH M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.552
2025-02-27 19:30:00,2025-02-27 20:00:00,SHORT,2291.1,2269.710966226203,2291.1,2269.710966226203,2219.803220754009,2166.330636319516,0.9335705021080316,5.0,2,0.5720871319422138,NEUTRAL,PASS,PASS,PASS,0.5622162816291378,0.38345300335976934,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.572
2025-02-27 20:00:00,2025-02-27 20:45:00,SHORT,2275.6,2252.7796373960423,2275.6,2252.7796373960423,2199.5321246534745,2142.481218143581,1.0028283795024442,5.0,3,0.5396380125051148,NEUTRAL,PASS,PASS,PASS,0.5622162816291378,0.38345300335976934,TP1,M9=CHOP_MILD_BEAR M13=NEUTRAL M1=NEUTRAL M2=PASS M3=PASS M4=PASS M5=PASS ICS=0.540
