Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-02-15 02:00:00,2064.18,2072.41,2053.04,2060.11,19194.5649,2026-02-15 02:14:59.999,39544959.60744,70581,4386.8523,9041998.613648
2026-02-15 02:15:00,2060.1,2063.45,2050.0,2057.14,7933.6486,2026-02-15 02:29:59.999,16307657.31609,52951,1919.5844,3947894.892945
2026-02-15 02:30:00,2057.14,2063.03,2045.0,2058.14,19160.6281,2026-02-15 02:44:59.999,39371547.716924,109286,4582.3828,9418631.266023
2026-02-15 02:45:00,2058.14,2063.65,2058.13,2059.58,3135.4615,2026-02-15 02:59:59.999,6463179.995304,36396,1390.0476,2864927.25058
2026-02-15 03:00:00,2059.59,2063.34,2057.47,2057.47,4444.9813,2026-02-15 03:14:59.999,9159018.557533,23236,2562.2374,5279279.896739
2026-02-15 03:15:00,2057.48,2060.0,2054.09,2055.33,3791.8275,2026-02-15 03:29:59.999,7802093.192935,20881,1085.9413,2235108.97498
2026-02-15 03:30:00,2055.34,2060.0,2030.9,2042.99,152390.1046,2026-02-15 03:44:59.999,311034317.314777,345980,44087.5831,90083579.458175
2026-02-15 03:45:00,2042.99,2060.71,2042.99,2058.94,7845.1883,2026-02-15 03:59:59.999,16110436.538201,64305,4387.9694,9010063.983723
2026-02-15 04:00:00,2058.94,2085.02,2058.94,2081.53,10684.9826,2026-02-15 04:14:59.999,22130261.842005,139374,6532.7261,13530301.718907
2026-02-15 04:15:00,2081.54,2087.13,2069.11,2072.81,7083.8403,2026-02-15 04:29:59.999,14709933.021408,77657,3473.0324,7213382.347041
2026-02-15 04:30:00,2072.82,2081.02,2072.14,2077.85,3300.1787,2026-02-15 04:44:59.999,6855087.186915,37194,1967.9594,4087689.979849
2026-02-15 04:45:00,2077.84,2080.88,2074.0,2076.31,2104.0584,2026-02-15 04:59:59.999,4370472.962193,25091,1269.2059,2636328.460579
2026-02-15 05:00:00,2076.31,2086.11,2075.12,2083.5,3152.1266,2026-02-15 05:14:59.999,6561449.889307,37673,1664.2425,3463911.827355
2026-02-15 05:15:00,2083.51,2093.75,2083.3,2090.53,4191.7148,2026-02-15 05:29:59.999,8757671.75936,64811,2359.23,4928820.841828
2026-02-15 05:30:00,2090.52,2094.72,2087.84,2090.69,3055.5373,2026-02-15 05:44:59.999,6390373.810628,43091,1308.119,2736439.680302
2026-02-15 05:45:00,2090.68,2096.11,2088.67,2088.68,3118.2063,2026-02-15 05:59:59.999,6526225.544136,28862,1673.5961,3503494.401543
2026-02-15 06:00:00,2088.67,2090.99,2085.55,2087.31,1790.6496,2026-02-15 06:14:59.999,3739057.690172,25682,766.7327,1601187.970814
2026-02-15 06:15:00,2087.32,2094.41,2086.18,2090.1,2751.0122,2026-02-15 06:29:59.999,5753704.497506,28626,1628.9695,3406905.53392
2026-02-15 06:30:00,2090.1,2094.71,2088.41,2088.41,2613.11,2026-02-15 06:44:59.999,5466205.79875,32491,1742.6566,3645091.123066
2026-02-15 06:45:00,2088.4,2089.37,2082.61,2085.85,1927.5472,2026-02-15 06:59:59.999,4020003.499753,37961,653.0521,1361949.700348
2026-02-15 07:00:00,2085.85,2088.34,2084.02,2084.85,2115.608,2026-02-15 07:14:59.999,4413724.699786,39727,752.403,1569746.766628
2026-02-15 07:15:00,2084.86,2090.46,2082.47,2085.78,14940.8667,2026-02-15 07:29:59.999,31172058.649988,77662,4256.9938,8879584.859307
2026-02-15 07:30:00,2085.78,2103.32,2083.67,2090.18,11819.0366,2026-02-15 07:44:59.999,24761656.776269,86010,5342.3524,11192828.253536
2026-02-15 07:45:00,2090.18,2093.35,2088.75,2091.41,5886.2173,2026-02-15 07:59:59.999,12307966.966919,36074,1674.9165,3502124.75013
2026-02-15 08:00:00,2091.41,2096.82,2084.26,2085.01,8928.5375,2026-02-15 08:14:59.999,18673787.441949,69004,3493.3868,7306531.180478
2026-02-15 08:15:00,2085.02,2089.56,2076.16,2076.38,5310.5175,2026-02-15 08:29:59.999,11066578.886837,57461,2223.2467,4635842.121184
2026-02-15 08:30:00,2076.34,2077.74,2055.92,2063.72,9512.0423,2026-02-15 08:44:59.999,19637046.996851,93256,4846.3595,10003364.779802
2026-02-15 08:45:00,2063.72,2070.07,2061.31,2069.2,3564.9956,2026-02-15 08:59:59.999,7368062.635295,31899,1773.7186,3665762.968073
2026-02-15 09:00:00,2069.2,2078.86,2066.02,2074.05,3809.2755,2026-02-15 09:14:59.999,7896822.950114,37474,2274.6897,4716153.209504
2026-02-15 09:15:00,2074.04,2075.36,2070.84,2075.26,2058.4736,2026-02-15 09:29:59.999,4268251.811112,24161,889.6554,1844722.03633
2026-02-15 09:30:00,2075.25,2075.45,2068.03,2071.11,1551.5933,2026-02-15 09:44:59.999,3215783.996755,23372,598.8941,1241237.14461
2026-02-15 09:45:00,2071.11,2071.9,2066.89,2068.7,2049.6709,2026-02-15 09:59:59.999,4239304.887118,15971,1339.4656,2770226.466637
2026-02-15 10:00:00,2068.7,2070.26,2054.36,2058.01,3297.1998,2026-02-15 10:14:59.999,6795296.018449,53856,1118.6902,2306443.879341
2026-02-15 10:15:00,2058.0,2064.18,2055.09,2062.92,2423.2499,2026-02-15 10:29:59.999,4991215.555668,36731,1143.5761,2355335.179164
2026-02-15 10:30:00,2062.92,2063.59,2057.12,2063.57,1752.0979,2026-02-15 10:44:59.999,3610551.797613,47044,745.4863,1536188.752987
2026-02-15 10:45:00,2063.57,2066.13,2059.58,2061.57,2943.0017,2026-02-15 10:59:59.999,6071355.908162,27351,1364.4897,2815089.359794
2026-02-15 11:00:00,2061.56,2066.53,2060.89,2063.82,1304.8222,2026-02-15 11:14:59.999,2692808.06007,21709,707.6721,1460486.757306
2026-02-15 11:15:00,2063.82,2067.01,2060.0,2062.25,1433.482,2026-02-15 11:29:59.999,2957599.910239,14816,813.8425,1678870.715073
2026-02-15 11:30:00,2062.24,2063.43,2058.61,2062.37,1228.6036,2026-02-15 11:44:59.999,2532754.826723,12058,535.9506,1104890.167183
2026-02-15 11:45:00,2062.36,2063.26,2058.9,2061.96,925.0113,2026-02-15 11:59:59.999,1907068.279241,21784,368.7788,760253.104349
2026-02-15 12:00:00,2061.96,2063.0,2056.72,2059.85,1367.2191,2026-02-15 12:14:59.999,2816464.613764,37018,605.8317,1248054.65031
2026-02-15 12:15:00,2059.84,2066.6,2056.75,2066.36,2310.4757,2026-02-15 12:29:59.999,4763958.811372,33444,1264.1186,2606766.236403
2026-02-15 12:30:00,2066.35,2068.63,2058.17,2061.41,1814.4537,2026-02-15 12:44:59.999,3743838.117977,23589,940.6483,1941186.772753
2026-02-15 12:45:00,2061.4,2061.4,2011.0,2011.0,21959.9332,2026-02-15 12:59:59.999,44587755.230336,143716,7222.5417,14658805.338787
2026-02-15 13:00:00,2011.0,2025.79,2010.55,2020.14,13598.1771,2026-02-15 13:14:59.999,27463473.725276,171720,7170.3801,14481810.2773
2026-02-15 13:15:00,2020.13,2028.34,2006.6,2008.8,12126.2494,2026-02-15 13:29:59.999,24486535.544089,92719,6868.1721,13873808.825672
2026-02-15 13:30:00,2008.8,2014.45,2003.25,2007.16,10246.5745,2026-02-15 13:44:59.999,20582450.894946,136817,4288.7625,8614776.127608
2026-02-15 13:45:00,2007.16,2011.63,1994.05,2002.46,13021.1883,2026-02-15 13:59:59.999,26061146.210538,127267,5742.485,11492252.521203
2026-02-15 14:00:00,2002.45,2006.39,1993.3,1997.78,8422.0637,2026-02-15 14:14:59.999,16849178.147022,93767,4034.4594,8072747.829859
2026-02-15 14:15:00,1997.79,2004.53,1996.66,2002.92,5150.7416,2026-02-15 14:29:59.999,10306224.34655,63421,2441.3999,4885317.128287
2026-02-15 14:30:00,2002.93,2012.43,1999.23,2011.4,6559.7046,2026-02-15 14:44:59.999,13160737.7633,52756,3902.1534,7831367.906664
2026-02-15 14:45:00,2011.41,2012.14,2007.4,2010.32,3339.34,2026-02-15 14:59:59.999,6710439.845282,35506,1483.5971,2981320.636452
2026-02-15 15:00:00,2010.32,2015.07,2008.37,2013.2,5593.3544,2026-02-15 15:14:59.999,11253129.471912,28468,3553.8144,7149020.374979
2026-02-15 15:15:00,2013.2,2013.2,2003.43,2003.82,3647.1779,2026-02-15 15:29:59.999,7323876.655689,40184,1308.7879,2628182.149789
2026-02-15 15:30:00,2003.81,2009.81,2002.5,2009.8,2746.6687,2026-02-15 15:44:59.999,5512435.602438,43652,1256.5907,2521995.848691
2026-02-15 15:45:00,2009.8,2012.49,2006.0,2011.29,3803.1975,2026-02-15 15:59:59.999,7645790.490685,33310,2493.2081,5013864.182689
2026-02-15 16:00:00,2011.29,2011.3,1993.35,2004.12,32130.1483,2026-02-15 16:14:59.999,64275547.451834,121770,8696.9892,17400534.625326
2026-02-15 16:15:00,2004.12,2007.5,1997.31,2007.5,14788.9337,2026-02-15 16:29:59.999,29598315.19723,53362,4210.8419,8430022.617831
2026-02-15 16:30:00,2007.5,2009.24,2002.18,2009.11,2803.9881,2026-02-15 16:44:59.999,5622324.307378,32495,932.8068,1870360.063474
2026-02-15 16:45:00,2009.11,2010.18,2005.37,2006.27,2419.0538,2026-02-15 16:59:59.999,4856354.587558,20053,1016.5063,2041028.68547
2026-02-15 17:00:00,2006.27,2009.05,2004.22,2005.38,2364.6472,2026-02-15 17:14:59.999,4745725.509715,18264,648.8985,1302211.55321
2026-02-15 17:15:00,2005.37,2005.37,1996.04,1998.44,3949.8735,2026-02-15 17:29:59.999,7898030.305565,39071,1155.8118,2311014.426665
2026-02-15 17:30:00,1998.44,2000.46,1987.0,1987.27,7552.992,2026-02-15 17:44:59.999,15050078.043784,40096,2391.2702,4762938.330996
